Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	*eol
Act 4 (N) Champ C	13	56	-4	819	0	0		69	Act 4 (N) Citem B	2	Act 4 (N) Cpot B	1																							0
Act 5 (N) Champ A	13	57	-4	819	0	0		69	Act 5 (N) Citem A	2	Act 5 (N) Cpot A	1																							0
Act 5 (N) Champ B	13	60	-4	819	0	0		69	Act 5 (N) Citem B	2	Act 5 (N) Cpot B	1																							0
Act 5 (N) Champ C	13	62	-4	819	0	0		69	Act 5 (N) Citem C	2	Act 5 (N) Cpot C	1																							0
Act 1 (H) Champ A	13	63	-4	819	0	0		69	Act 1 (H) Citem A	4	Act 1 (H) Cpot A	1																							0
Act 1 (H) Champ B	13	66	-4	819	0	0		69	Act 1 (H) Citem B	4	Act 1 (H) Cpot B	1																							0
Act 1 (H) Champ C	13	68	-4	819	0	0		69	Act 1 (H) Citem C	4	Act 1 (H) Cpot C	1																							0
Act 2 (H) Champ A	13	69	-4	819	0	0		69	Act 2 (H) Citem A	4	Act 2 (H) Cpot A	1																							0
Act 2 (H) Champ B	13	71	-4	819	0	0		69	Act 2 (H) Citem B	4	Act 2 (H) Cpot B	1																							0
Act 2 (H) Champ C	13	72	-4	819	0	0		69	Act 2 (H) Citem C	4	Act 2 (H) Cpot C	1																							0
Act 3 (H) Champ A	13	74	-4	819	0	0		69	Act 3 (H) Citem A	4	Act 3 (H) Cpot A	1																							0
Act 3 (H) Champ B	13	75	-4	819	0	0		69	Act 3 (H) Citem B	4	Act 3 (H) Cpot B	1																							0
Act 3 (H) Champ C	13	77	-4	819	0	0		69	Act 3 (H) Citem C	4	Act 3 (H) Cpot C	1																							0
Act 4 (H) Champ A	13	78	-4	819	0	0		30	Act 4 (H) Citem A	4	Act 4 (H) Cpot A	1																							0
Act 4 (H) Champ B	13	80	-4	819	0	0		30	Act 4 (H) Citem B	4	Act 4 (H) Cpot B	1																							0
Act 5 (H) Champ A	13	81	-4	819	0	0		30	Act 5 (H) Citem A	4	Act 5 (H) Cpot A	1																							0
Act 5 (H) Champ B	13	83	-4	819	0	0		30	Act 5 (H) Citem B	4	Act 5 (H) Cpot B	1																							0
Act 5 (H) Champ C	13	85	-4	819	0	0		30	Act 5 (H) Citem C	4	Act 5 (H) Cpot C	1																							0
Act 1 Uitem A	14	0	1	819	0	0		69	Act 1 Equip A	58	Act 1 Good	6																							0
Act 1 Uitem B	14	5	1	819	0	0		69	Act 1 Equip B	58	Act 1 Good	6																							0
Act 1 Uitem C	14	9	1	819	0	0		69	Act 1 Equip C	58	Act 1 Good	6																							0
Act 2 Uitem A	14	12	1	819	0	0		69	Act 2 Equip A	58	Act 2 Good	6																							0
Act 2 Uitem B	14	15	1	819	0	0		69	Act 2 Equip B	58	Act 2 Good	6																							0
Act 2 Uitem C	14	18	1	819	0	0		69	Act 2 Equip C	58	Act 3 Good	6																							0
Act 3 Uitem A	14	20	1	819	0	0		69	Act 3 Equip A	58	Act 3 Good	6																							0
Act 3 Uitem B	14	22	1	819	0	0		69	Act 3 Equip B	58	Act 3 Good	6																							0
Act 3 Uitem C	14	24	1	819	0	0		69	Act 3 Equip C	58	Act 3 Good	6																							0
Act 4 Uitem A	14	26	1	819	0	0		69	Act 4 Equip A	58	Act 4 Good	6																							0
Act 4 Uitem B	14	29	1	819	0	0		69	Act 4 Equip B	58	Act 4 Good	6																							0
Act 5 Uitem A	14	32	1	819	0	0		69	Act 5 Equip A	58	Act 5 Good	6																							0
Act 5 Uitem B	14	34	1	819	0	0		69	Act 5 Equip B	58	Act 5 Good	6																							0
Act 5 Uitem C	14	36	1	819	0	0		69	Act 5 Equip C	58	Act 5 Good	6																							0
Act 1 (N) Uitem A	14	38	1	819	0	0		69	Act 1 (N) Equip A	58	Act 1 (N) Good	6																							0
Act 1 (N) Uitem B	14	40	1	819	0	0		69	Act 1 (N) Equip B	58	Act 1 (N) Good	6																							0
Act 1 (N) Uitem C	14	41	1	819	0	0		69	Act 1 (N) Equip B	58	Act 1 (N) Good	6																							0
Act 2 (N) Uitem A	14	42	1	819	0	0		69	Act 2 (N) Equip A	58	Act 2 (N) Good	6																							0
Act 2 (N) Uitem B	14	44	1	819	0	0		69	Act 2 (N) Equip B	58	Act 2 (N) Good	6																							0
Act 2 (N) Uitem C	14	45	1	819	0	0		69	Act 2 (N) Equip B	58	Act 2 (N) Good	6																							0
Act 3 (N) Uitem A	14	46	1	819	0	0		69	Act 3 (N) Equip A	58	Act 3 (N) Good	6																							0
Act 3 (N) Uitem B	14	48	1	819	0	0		69	Act 3 (N) Equip B	58	Act 3 (N) Good	6																							0
Act 3 (N) Uitem C	14	50	1	819	0	0		69	Act 3 (N) Equip B	58	Act 3 (N) Good	6																							0
Act 4 (N) Uitem A	14	51	1	819	0	0		69	Act 4 (N) Equip A	58	Act 4 (N) Good	6																							0
Act 4 (N) Uitem B	14	54	1	819	0	0		69	Act 4 (N) Equip B	58	Act 4 (N) Good	6																							0
Act 5 (N) Uitem A	14	57	1	819	0	0		69	Act 5 (N) Equip A	58	Act 5 (N) Good	6																							0
Act 5 (N) Uitem B	14	60	1	819	0	0		69	Act 5 (N) Equip B	58	Act 5 (N) Good	6																							0
Act 5 (N) Uitem C	14	62	1	819	0	0		69	Act 5 (N) Equip C	58	Act 5 (N) Good	6																							0
Act 1 (H) Uitem A	14	99	1	819	0	0		69	Act 1 (H) Equip A	58	Act 1 (H) Good	6																							0
Act 1 (H) Uitem B	14	99	1	819	0	0		69	Act 1 (H) Equip B	58	Act 1 (H) Good	6																							0
Act 1 (H) Uitem C	14	99	1	819	0	0		69	Act 1 (H) Equip B	58	Act 1 (H) Good	6																							0
Act 2 (H) Uitem A	14	99	1	819	0	0		69	Act 2 (H) Equip A	58	Act 2 (H) Good	6																							0
Act 2 (H) Uitem B	14	99	1	819	0	0		69	Act 2 (H) Equip B	58	Act 2 (H) Good	6																							0
Act 2 (H) Uitem C	14	99	1	819	0	0		69	Act 2 (H) Equip B	58	Act 2 (H) Good	6																							0
Act 3 (H) Uitem A	14	99	1	819	0	0		40	Act 3 (H) Equip A	58	Act 3 (H) Good	6																							0
Act 3 (H) Uitem B	14	99	1	819	0	0		40	Act 3 (H) Equip B	58	Act 3 (H) Good	6																							0
Act 3 (H) Uitem C	14	99	1	819	0	0		30	Act 3 (H) Equip B	58	Act 3 (H) Good	6																							0
Act 4 (H) Uitem A	14	99	1	819	0	0		30	Act 4 (H) Equip A	58	Act 4 (H) Good	8																							0
Act 4 (H) Uitem B	14	99	1	819	0	0		30	Act 4 (H) Equip B	58	Act 4 (H) Good	8																							0
Act 5 (H) Uitem A	14	99	1	819	0	0		30	Act 5 (H) Equip A	58	Act 5 (H) Good	8																							0
Act 5 (H) Uitem B	14	99	1	819	0	0		30	Act 5 (H) Equip B	58	Act 5 (H) Good	8																							0
Act 5 (H) Uitem C	14	99	1	819	0	0		30	Act 5 (H) Equip C	58	Act 5 (H) Good	8																							0
Act 1 Unique A	15	0	-5	819	0	0		69	Act 1 Uitem A	4	Act 1 Cpot A	1																							0
Act 1 Unique B	15	5	-5	819	0	0		69	Act 1 Uitem B	4	Act 1 Cpot B	1																							0
Act 1 Unique C	15	9	-5	819	0	0		69	Act 1 Uitem C	4	Act 1 Cpot C	1																							0
Act 2 Unique A	15	12	-5	819	0	0		69	Act 2 Uitem A	4	Act 2 Cpot A	1																							0
Act 2 Unique B	15	15	-5	819	0	0		69	Act 2 Uitem B	4	Act 2 Cpot B	1																							0
Act 2 Unique C	15	18	-5	819	0	0		69	Act 2 Uitem C	4	Act 2 Cpot C	1																							0
Act 3 Unique A	15	20	-5	819	0	0		69	Act 3 Uitem A	4	Act 3 Cpot A	1																							0
Act 3 Unique B	15	22	-5	819	0	0		69	Act 3 Uitem B	4	Act 3 Cpot B	1																							0
Act 3 Unique C	15	24	-5	819	0	0		69	Act 3 Uitem C	4	Act 3 Cpot C	1																							0
Act 4 Unique A	15	26	-5	819	0	0		69	Act 4 Uitem A	4	Act 4 Cpot A	1																							0
Act 4 Unique B	15	29	-5	819	0	0		69	Act 4 Uitem B	4	Act 4 Cpot B	1																							0
Act 5 Unique A	15	32	-5	819	0	0		69	Act 5 Uitem A	4	Act 5 Cpot A	1																							0
Act 5 Unique B	15	34	-5	819	0	0		69	Act 5 Uitem B	4	Act 5 Cpot B	1																							0
Act 5 Unique C	15	36	-5	819	0	0		52	Act 5 Uitem C	4	Act 5 Cpot C	1																							0
Act 1 (N) Unique A	15	38	-5	819	0	0		52	Act 1 (N) Uitem A	4	Act 1 (N) Cpot A	1																							0
Act 1 (N) Unique B	15	40	-5	819	0	0		52	Act 1 (N) Uitem B	4	Act 1 (N) Cpot B	1																							0
Act 1 (N) Unique C	15	41	-5	819	0	0		52	Act 1 (N) Uitem C	4	Act 1 (N) Cpot C	1																							0
Act 2 (N) Unique A	15	42	-5	819	0	0		52	Act 2 (N) Uitem A	4	Act 2 (N) Cpot A	1																							0
Act 2 (N) Unique B	15	44	-5	819	0	0		52	Act 2 (N) Uitem B	4	Act 2 (N) Cpot B	1																							0
Act 2 (N) Unique C	15	45	-5	819	0	0		52	Act 2 (N) Uitem C	4	Act 2 (N) Cpot C	1																							0
Act 3 (N) Unique A	15	46	-5	819	0	0		52	Act 3 (N) Uitem A	4	Act 3 (N) Cpot A	1																							0
Act 3 (N) Unique B	15	48	-5	819	0	0		52	Act 3 (N) Uitem B	4	Act 3 (N) Cpot B	1																							0
Act 3 (N) Unique C	15	50	-5	819	0	0		52	Act 3 (N) Uitem C	4	Act 3 (N) Cpot C	1																							0
Act 4 (N) Unique A	15	51	-5	819	0	0		52	Act 4 (N) Uitem A	4	Act 4 (N) Cpot A	1																							0
Act 4 (N) Unique B	15	54	-5	819	0	0		52	Act 4 (N) Uitem B	4	Act 4 (N) Cpot B	1																							0
Act 5 (N) Unique A	15	57	-5	819	0	0		52	Act 5 (N) Uitem A	4	Act 5 (N) Cpot A	1																							0
Act 5 (N) Unique B	15	60	-5	819	0	0		52	Act 5 (N) Uitem B	4	Act 5 (N) Cpot B	1																							0
Act 5 (N) Unique C	15	62	-5	819	0	0		52	Act 5 (N) Uitem C	4	Act 5 (N) Cpot C	1																							0
Act 1 (H) Unique A	15	63	-5	819	0	0		52	Act 1 (H) Uitem A	6	Act 1 (H) Cpot A	1																							0
Act 1 (H) Unique B	15	66	-5	819	0	0		52	Act 1 (H) Uitem B	6	Act 1 (H) Cpot B	1																							0
Act 1 (H) Unique C	15	68	-5	819	0	0		52	Act 1 (H) Uitem C	6	Act 1 (H) Cpot C	1																							0
Act 2 (H) Unique A	15	99	-5	819	0	0		52	Act 2 (H) Uitem A	6	Act 2 (H) Cpot A	1																							0
Act 2 (H) Unique B	15	99	-5	819	0	0		52	Act 2 (H) Uitem B	6	Act 2 (H) Cpot B	1																							0
Act 2 (H) Unique C	15	99	-5	819	0	0		52	Act 2 (H) Uitem C	6	Act 2 (H) Cpot C	1																							0
Act 3 (H) Unique A	15	99	-5	819	0	0		52	Act 3 (H) Uitem A	6	Act 3 (H) Cpot A	1																							0
Act 3 (H) Unique B	15	99	-5	819	0	0		52	Act 3 (H) Uitem B	6	Act 3 (H) Cpot B	1																							0
Act 3 (H) Unique C	15	99	-5	819	0	0		52	Act 3 (H) Uitem C	6	Act 3 (H) Cpot C	1																							0
Act 4 (H) Unique A	15	99	-5	819	0	0		52	Act 4 (H) Uitem A	6	Act 4 (H) Cpot A	1																							0
Act 4 (H) Unique B	15	99	-5	819	0	0		52	Act 4 (H) Uitem B	6	Act 4 (H) Cpot B	1																							0
Act 5 (H) Unique A	15	99	-5	819	0	0		52	Act 5 (H) Uitem A	6	Act 5 (H) Cpot A	1																							0
Act 5 (H) Unique B	15	99	-5	819	0	0		52	Act 5 (H) Uitem B	6	Act 5 (H) Cpot B	1																							0
Act 5 (H) Unique C	15	99	-5	819	0	0		52	Act 5 (H) Uitem C	6	Act 5 (H) Cpot C	1																							0
Quill 1	16	0	1	819	0	0		52	gld	9	Act 1 Junk	6																							0
Quill 2	16	4	1	819	0	0		52	gld	9	Act 1 Junk	6																							0
Quill 3	16	8	1	819	0	0		52	gld	9	Act 1 Junk	6	Act 1 Good	1																					0
Quill 4	16	12	1	819	0	0		52	gld	9	Act 1 Junk	6	Act 1 Good	1																					0
Quill 5	16	20	1	819	0	0		52	gld	9	Act 3 Junk	6	Act 3 Good	1																					0
Quill 1 (N)	16	32	1	819	0	0		52	gld	9	Act 1 (N) Junk	6																							0
Quill 2 (N)	16	35	1	819	0	0		52	gld	9	Act 1 (N) Junk	6	Act 1 (N) Good	1																					0
Quill 3 (N)	16	38	1	819	0	0		52	gld	9	Act 1 (N) Junk	6	Act 1 (N) Good	1																					0
Quill 4 (N)	16	40	1	819	0	0		52	gld	9	Act 1 (N) Junk	6	Act 1 (N) Good	1																					0
Quill 5 (N)	16	46	1	819	0	0		52	gld	9	Act 3 (N) Junk	6	Act 3 (N) Good	1																					0
Quill 1 (H)	16	60	1	819	0	0		52	gld	9	Act 1 (H) Junk	6																							0
Quill 2 (H)	16	62	1	819	0	0		52	gld	9	Act 1 (H) Junk	6	Act 1 (H) Good	4																					0
Quill 3 (H)	16	65	1	819	0	0		52	gld	9	Act 1 (H) Junk	6	Act 1 (H) Good	4																					0
Quill 4 (H)	16	68	1	100	1	20	600	82	gld	9	Act 1 (H) Junk	6	Act 1 (H) Good	4																					0
Quill 5 (H)	16	85	1	100	1	20	600	82	gld	9	Act 3 (H) Junk	6	Act 3 (H) Good	4																					0
Swarm 1	17	0	1	979	1	800	600	82	Potion 2	12	Misc 1	6	Act 2 Good	1	Act 2 Magic A	6																			0
Swarm 2	17	20	1	979	1	800	600	82	Potion 3	12	Misc 2	6	Act 3 Good	1	Act 3 Magic A	6																			0
Swarm 1 (N)	17	40	1	979	1	800	600	82	Potion 6	12	Misc 2	6	Act 2 (N) Good	1	Act 2 (N) Magic A	6																			0
Swarm 2 (N)	17	46	1	979	1	800	600	82	Potion 6	12	Misc 2	6	Act 3 (N) Good	1	Act 3 (N) Magic A	6																			0
Swarm 1 (H)	17	99	1	979	1	800	600	82	Potion 6	12	Misc 2	6	Act 2 (H) Good	1	Act 2 (H) Magic A	6																			0
Swarm 2 (H)	17	99	1	979	1	800	600	82	Potion 6	12	Misc 2	6	Act 3 (H) Good	1	Act 3 (H) Magic A	6																			0
Sunder Charms			1	979	1	800	600	13622	Cold Rupture	30	Flame Rift	30	Crack of the Heavens	20	Rotting Fissure	12	Bone Break	6	Black Cleft	3												2	2	1	0
Andariel			7	979	1	800	600	10	Act 2 Equip A	19	Act 2 Good	4																							0
Andariel (N)			7	979	1	800	600	10	Act 2 (N) Equip A	19	Act 2 (N) Good	4																							0
Andariel (H)			7	979	1	800	600	10	Act 2 (H) Equip A	19	Act 2 (H) Good	4	tes	1																					0
Andarielq			7	979	1	800	600	10	Act 2 Equip A	19	Act 2 Good	4																							0
Andarielq Desecrated A	20	13	7	979	1	800	600	10	Act 2 Equip A	19	Act 2 Good	4																							0
Andarielq Desecrated B	20	32	7	979	1	800	600	10	Act 4 Equip B	19	Act 4 Good	4																							0
Andarielq Desecrated C	20	48	7	979	1	800	600	10	Act 3 (N) Equip A	19	Act 3 (N) Good	4																							0
Andarielq (N)			7	979	1	800	600		Act 2 (N) Equip A	4	Act 2 (N) Good	4	POE1	50																					0
Andarielq (N) Desecrated A	20	43	7	979	1	800	600	10	Act 2 (N) Equip A	19	Act 2 (N) Good	4																							0
Andarielq (N) Desecrated B	20	57	7	979	1	800	600	10	Act 4 (N) Equip B	19	Act 4 (N) Good	4																							0
Andarielq (N) Desecrated C	20	99	7	979	1	800	600	10	Act 3 (H) Equip A	19	Act 3 (H) Good	4																							0
Andarielq (H)			-1	979	1	800	600		blr	1																									0
Andarielq Item (H) Desecrated A			7	979	1	800	600	10	Act 3 (H) Equip B	19	Act 3 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated B			7	979	1	800	600	10	Act 3 (H) Equip C	19	Act 3 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated C			7	979	1	800	600	10	Act 4 (H) Equip A	19	Act 4 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated D			7	979	1	800	600	10	Act 4 (H) Equip B	19	Act 4 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated E			7	979	1	800	600	10	Act 4 (H) Equip C	19	Act 4 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated F			7	979	1	800	600	10	Act 5 (H) Equip A	19	Act 5 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated G			7	979	1	800	600	10	Act 5 (H) Equip B	19	Act 5 (H) Good	4	tes	1																					0
Andarielq Item (H) Desecrated H			7	979	1	800	600	10	Act 5 (H) Equip C	19	Act 5 (H) Good	4	tes	1																					0
Andarielq (H) Desecrated A	20	74	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated A	1																							0
Andarielq (H) Desecrated B	20	78	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated B	1																							0
Andarielq (H) Desecrated C	20	81	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated C	1																							0
Andarielq (H) Desecrated D	20	84	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated D	1																							0
Andarielq (H) Desecrated E	20	87	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated E	1																							0
Andarielq (H) Desecrated F	20	90	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated F	1																							0
Andarielq (H) Desecrated G	20	93	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated G	1																							0
Andarielq (H) Desecrated H	20	96	-2	979	1	800	600		Sunder Charms	1	Andarielq Item (H) Desecrated H	1																							0
Duriel - Base			7	979	1	800	600	10	Act 3 Equip A	19	Act 3 Good	4																							0
Duriel - Base Desecrated A			7	979	1	800	600	10	"gld,mul=1280"	5	Act 3 Equip B	19	Act 3 Junk	4	Act 3 Good	4																			0
Duriel - Base Desecrated B			7	979	1	800	600	10	"gld,mul=1280"	5	Act 5 Equip B	19	Act 5 Junk	4	Act 5 Good	4																			0
Duriel - Base Desecrated C			7	979	1	800	600	10	"gld,mul=1280"	5	Act 3 (N) Equip A	19	Act 3 (N) Junk	4	Act 3 (N) Good	4																			0
Duriel (N) - Base			7	979	1	800	600	10	Act 3 (N) Equip A	19	Act 3 (N) Good	4	POE1	3																					0
Duriel (N) - Base Desecrated A			7					10	"gld,mul=1536"	5	Act 4 (N) Equip A	19	Act 4 (N) Junk	4	Act 4 (N) Good	4																			0
Duriel (N) - Base Desecrated B			7					10	"gld,mul=1536"	5	Act 5 (N) Equip B	19	Act 5 (N) Junk	4	Act 5 (N) Good	4																			0
Duriel (N) - Base Desecrated C			7					10	"gld,mul=1536"	5	Act 3 (H) Equip A	19	Act 3 (H) Junk	4	Act 3 (H) Good	4																			0
Duriel (H) - Base			7					10	Act 3 (H) Equip A	19	Act 3 (H) Good	4	tes	2																					0
Duriel (H) - Base Desecrated A			7					10	"gld,mul=2048"	5	Act 4 (H) Equip B	19	Act 4 (H) Junk	4	Act 4 (H) Good	4	tes	2																	0
Duriel (H) - Base Desecrated B			7					10	"gld,mul=2048"	5	Act 5 (H) Equip A	19	Act 5 (H) Junk	4	Act 5 (H) Good	4	tes	2																	0
Duriel (H) - Base Desecrated C			7					10	"gld,mul=2048"	5	Act 5 (H) Equip B	19	Act 5 (H) Junk	4	Act 5 (H) Good	4	tes	2																	0
Duriel (H) - Base Desecrated D			7					10	"gld,mul=2048"	5	Act 5 (H) Equip C	19	Act 5 (H) Junk	4	Act 5 (H) Good	4	tes	2																	0
Durielq - Base			7					10	Act 3 Equip A	19	Act 3 Good	4																							0
Durielq (N) - Base			7					10	Act 3 (N) Equip A	19	Act 3 (N) Good	4	wss	9	emd	9	gr1	9	LG 2	9	LG 3	3													0
Durielq (H) - Base			-1					10	kob	1																									0
Radament			5					10	"gld,mul=1280"	5	Act 3 Equip B	19	Act 3 Junk	4	Act 3 Good	4																			0
Radament Desecrated A	21	19	5					10	"gld,mul=1280"	5	Act 3 Equip B	19	Act 3 Junk	4	Act 3 Good	4																			0
Radament Desecrated B	21	33	5					10	"gld,mul=1280"	5	Act 4 Equip B	19	Act 4 Junk	4	Act 4 Good	4																			0
Radament Desecrated C	21	48	5					10	"gld,mul=1280"	5	Act 3 (N) Equip A	19	Act 3 (N) Junk	4	Act 3 (N) Good	4																			0
Radament (N)			5					10	"gld,mul=1536"	5	Act 3 (N) Equip B	19	Act 3 (N) Junk	4	Act 3 (N) Good	4																			0
Radament (N) Desecrated A	21	52	5					10	"gld,mul=1536"	5	Act 3 (N) Equip C	19	Act 3 (N) Junk	4	Act 3 (N) Good	4																			0
Radament (N) Desecrated B	21	62	5					10	"gld,mul=1536"	5	Act 5 (N) Equip A	19	Act 5 (N) Junk	4	Act 5 (N) Good	4																			0
Radament (N) Desecrated C	21	73	5					10	"gld,mul=1536"	5	Act 3 (H) Equip A	19	Act 3 (H) Junk	4	Act 3 (H) Good	4																			0
Radament (H)			5					10	"gld,mul=2048"	5	Act 3 (H) Equip C	19	Act 3 (H) Junk	4	Act 3 (H) Good	4																			0
Radament Item (H) Desecrated A			5					10	"gld,mul=2048"	5	Act 4 (H) Equip B	19	Act 4 (H) Junk	4	Act 4 (H) Good	4																			0
Radament Item (H) Desecrated B			5					10	"gld,mul=2048"	5	Act 5 (H) Equip A	19	Act 5 (H) Junk	4	Act 5 (H) Good	4																			0
Radament Item (H) Desecrated C			5					10	"gld,mul=2048"	5	Act 5 (H) Equip B	19	Act 5 (H) Junk	4	Act 5 (H) Good	4																			0
Radament Item (H) Desecrated D			5					10	"gld,mul=2048"	5	Act 5 (H) Equip C	19	Act 5 (H) Junk	4	Act 5 (H) Good	4																			0
Radament (H) Desecrated A	21	86	-2						Sunder Charms	1	Radament Item (H) Desecrated A	1																							0
Radament (H) Desecrated B	21	90	-2						Sunder Charms	1	Radament Item (H) Desecrated B	1																							0
Radament (H) Desecrated C	21	93	-2						Sunder Charms	1	Radament Item (H) Desecrated C	1																							0
Radament (H) Desecrated D	21	96	-2						Sunder Charms	1	Radament Item (H) Desecrated D	1																							0
Flying Scimitar			1					57	Act 2 Good	4	scm	57																							0
Flying Scimitar (N)			1					57	Act 2 (N) Good	4	scm	25	9sm	32																					0
Flying Scimitar (H)			1					57	Act 2 (H) Good	4	scm	7	9sm	18	7sm	32																			0
Mephisto			-2					8	Act 4 Equip A	4	Act 4 Good	50																							0
Mephisto Desecrated A	22	26	7					8	"gld,mul=1280"	2	Act 4 Equip A	52	Act 4 Junk	1	Act 4 Good	4																			0
Mephisto Desecrated B	22	38	7					8	"gld,mul=1280"	2	Act 5 Equip C	52	Act 5 Junk	1	Act 5 Good	4																			0
Mephisto Desecrated C	22	48	7					8	"gld,mul=1280"	2	Act 3 (N) Equip A	52	Act 3 (N) Junk	1	Act 3 (N) Good	4																			0
Mephisto (N)			-3					8	uic	3																									0
Mephisto (N) Desecrated A	22	59	7					8	"gld,mul=1536"	2	Act 4 (N) Equip B	52	Act 4 (N) Junk	1	Act 4 (N) Good	4																			0
Mephisto (N) Desecrated B	22	66	7					8	"gld,mul=1536"	2	Act 5 (N) Equip C	52	Act 5 (N) Junk	1	Act 5 (N) Good	4																			0
Mephisto (N) Desecrated C	22	73	7					8	"gld,mul=1536"	2	Act 3 (H) Equip A	52	Act 3 (H) Junk	1	Act 3 (H) Good	4																			0
Mephisto (H)			-5						kom	2	kob	2	coa	1																					0
Mephisto Item (H) Desecrated A			7					8	"gld,mul=2048"	2	Act 4 (H) Equip B	52	Act 4 (H) Junk	1	Act 4 (H) Good	4	ceh	1																	0
Mephisto Item (H) Desecrated B			7					8	"gld,mul=2048"	2	Act 5 (H) Equip A	52	Act 5 (H) Junk	1	Act 5 (H) Good	4	ceh	1																	0
Mephisto Item (H) Desecrated C			7					8	"gld,mul=2048"	2	Act 5 (H) Equip B	52	Act 5 (H) Junk	1	Act 5 (H) Good	4	ceh	1																	0
Mephisto Item (H) Desecrated D			7					8	"gld,mul=2048"	2	Act 5 (H) Equip C	52	Act 5 (H) Junk	1	Act 5 (H) Good	4	ceh	1																	0
Mephisto (H) Desecrated A	22	87	-2						Sunder Charms	1	Mephisto Item (H) Desecrated A	1																							0
Mephisto (H) Desecrated B	22	90	-2						Sunder Charms	1	Mephisto Item (H) Desecrated B	1																							0
Mephisto (H) Desecrated C	22	93	-2						Sunder Charms	1	Mephisto Item (H) Desecrated C	1																							0
Mephisto (H) Desecrated D	22	96	-2						Sunder Charms	1	Mephisto Item (H) Desecrated D	1																							0
Mephistoq			-2					8	Act 4 Equip A	30	Act 4 Good	30																							0
Mephistoq (N)			7					8	Act 4 (N) Equip A	52	Act 4 (N) Good	4																							0
Mephistoq (H)			-6						kob	6																									0
Diablo			-3						cmo	3																									0
Diablo Desecrated A	23	40	7					8	"gld,mul=1280"	2	Act 1 (N) Equip A	52	Act 1 (N) Junk	1	Act 1 (N) Good	4																			0
Diablo Desecrated B	23	48	7					8	"gld,mul=1280"	2	Act 3 (N) Equip A	52	Act 3 (N) Junk	1	Act 3 (N) Good	4																			0
Diablo (N)			-3					8	kom	3																									0
Diablo (N) Desecrated A	23	62	7					8	"gld,mul=1536"	2	Act 5 (N) Equip A	52	Act 5 (N) Junk	1	Act 5 (N) Good	4																			0
Diablo (N) Desecrated B	23	67	7					8	"gld,mul=1536"	2	Act 1 (H) Equip A	52	Act 1 (H) Junk	1	Act 1 (H) Good	4																			0
Diablo (N) Desecrated C	23	73	7					8	"gld,mul=1536"	2	Act 3 (H) Equip A	52	Act 3 (H) Junk	1	Act 3 (H) Good	4																			0
Diablo (H)	23	99	-6	800	1			1	Act 5 (H) Equip C	6																									0
Diablo Item (H) Desecrated A			7					8	"gld,mul=2048"	2	Act 5 (H) Equip B	52	Act 5 (H) Junk	1	Act 5 (H) Good	4	bet	1																	0
Diablo Item (H) Desecrated B			7					8	"gld,mul=2048"	2	Act 5 (H) Equip C	52	Act 5 (H) Junk	1	Act 5 (H) Good	4	bet	1																	0
Diablo (H) Desecrated A	23	94	-2						Sunder Charms	1	Diablo Item (H) Desecrated A	1																							0
Diablo (H) Desecrated B	23	96	-2						Sunder Charms	1	Diablo Item (H) Desecrated B	1																							0
Diabloq			-5						kom	5																									0
Diabloq (N)			-2						kob	2																									0
Diabloq (H)			-1						cup	4																									0
Summoner			5					10	"gld,mul=1280"	4	Act 2 Equip C	15	Act 3 Junk	1	Act 2 Good	4	Act 3 Magic A	4																	0
Summoner Desecrated A	24	18	5					10	"gld,mul=1280"	4	Act 2 Equip C	15	Act 3 Junk	1	Act 2 Good	4	Act 3 Magic A	4																	0
Summoner Desecrated B	24	32	5					10	"gld,mul=1280"	4	Act 4 Equip B	15	Act 5 Junk	1	Act 4 Good	4	Act 5 Magic A	4																	0
Summoner Desecrated C	24	48	5					10	"gld,mul=1280"	4	Act 3 (N) Equip C	15	Act 4 (N) Junk	1	Act 3 (N) Good	4	Act 4 (N) Magic A	4																	0
Summoner (N)			5					10	"gld,mul=1536"	4	Act 2 (N) Equip C	15	Act 3 (N) Junk	1	Act 2 (N) Good	4	Act 3 (N) Magic A	4																	0
