index	*ID	*order	*copied	*legendary	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Mark Of The Moo Moo Monk	1042	1031	1	1	100	1		4	1	98	98	amu	Amulet		5	5000	blac	blac						prop-Torment		9	10	oskill	Chi Strike	3	3	dr%		10	12	lifesteal		20	22	att-skill	Shadow Claw	15	39	prop-dmgtonova		40	100	oskill	Wave Of Light	3	3	aura	Fanaticism	7	7	res-all		20	50	pierce-immunity-damage		15	25	prop-chibonus		3	6						0
Mark Of The Moo Moo Monk	1043	1032	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	oskill	Chi Strike	3	3	dr%		10	12	lifesteal		20	22	att-skill	Shadow Claw	9	15	prop-dmgtonova		30	40	oskill	Wave Of Light	3	3	aura	Fanaticism	7	7	res-all		20	55	pierce-immunity-damage		10	12	prop-chibonus		3	3						0
Hraesvelgr	1044	1033	1	1	100	1		16	1	93	93	7wc	Giant Thresher		5	5000	blac	blac						prop-Torment		3	4	prop-skillsynSGandRW		5	6	oskill	Fridgid Winds	3	3	swing2		30	40	att-skill	Tempest Flurry	22	50	dmg%		300	425	dru		5	5	res-all		30	40	res-cold-max		3	3	ac		600	650	dmg-demon		450	475	prop-dmgtowind		80	100		0
Hraesvelgr	1045	1034	1	1	100	1		12	1	95	95	7wc	Giant Thresher		5	5000	blac	blac						prop-Torment		5	6	prop-skillsynSGandRW		6	7	oskill	Fridgid Winds	3	3	swing2		30	50	att-skill	Tempest Flurry	24	50	dmg%		300	450	dru		5	5	res-all		30	45	res-cold-max		3	3	ac		600	700	dmg-demon		450	500	prop-dmgtowind		80	110		0
Hraesvelgr	1046	1035	1	1	100	1		8	1	97	97	7wc	Giant Thresher		5	5000	blac	blac						prop-Torment		7	8	prop-skillsynSGandRW		6	8	oskill	Fridgid Winds	3	3	swing2		30	55	att-skill	Tempest Flurry	26	50	dmg%		300	475	dru		5	6	res-all		30	50	res-cold-max		3	3	ac		600	750	dmg-demon		450	550	prop-dmgtowind		80	120		0
Hraesvelgr	1047	1036	1	1	100	1		4	1	98	98	7wc	Giant Thresher		5	5000	blac	blac						prop-Torment		9	10	prop-skillsynSGandRW		7	9	oskill	Fridgid Winds	3	3	swing2		30	60	att-skill	Tempest Flurry	28	50	dmg%		300	500	dru		5	7	res-all		30	55	res-cold-max		3	4	ac		600	800	dmg-demon		450	600	prop-dmgtowind		80	130		0
Hraesvelgr	1048	1037	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	prop-skillsynSGandRW		3	3	oskill	Fridgid Winds	3	3	swing2		30	30	att-skill	Tempest Flurry	5	50	dmg%		300	400	dru		2	2	res-all		20	20	res-cold-max		1	1	ac		600	850	dmg-demon		250	250	prop-dmgtowind		40	40		0
Griffon's Eye	1049	1038	1	1	100	1		16	1	93	93	ci3	diadem		5	5000	blac	blac						prop-Torment		3	4	gethit-skill	Tempest Flurry	8	50	prop-dmgtowind		50	60	oskill	Moo Moo Martial Artist	3	3	dru		2	2	dex		70	85	oskill	Bovine Burst	3	3	move2		25	30	pierce-immunity-damage		10	11	att		500	700	hp		200	275	prop-moomoobuff		1	1		0
Griffon's Eye	1050	1039	1	1	100	1		12	1	95	95	ci3	diadem		5	5000	blac	blac						prop-Torment		5	6	gethit-skill	Tempest Flurry	9	50	prop-dmgtowind		50	70	oskill	Moo Moo Martial Artist	3	3	dru		2	2	dex		70	90	oskill	Bovine Burst	3	3	move2		25	35	pierce-immunity-damage		10	12	att		500	800	hp		200	300	prop-moomoobuff		1	1		0
Griffon's Eye	1051	1040	1	1	100	1		8	1	97	97	ci3	diadem		5	5000	blac	blac						prop-Torment		7	8	gethit-skill	Tempest Flurry	10	50	prop-dmgtowind		50	80	oskill	Moo Moo Martial Artist	3	3	dru		2	2	dex		70	95	oskill	Bovine Burst	3	3	move2		25	40	pierce-immunity-damage		10	13	att		500	900	hp		200	325	prop-moomoobuff		1	1		0
Griffon's Eye	1052	1041	1	1	100	1		4	1	98	98	ci3	diadem		5	5000	blac	blac						prop-Torment		9	10	gethit-skill	Tempest Flurry	10	50	prop-dmgtowind		50	90	oskill	Moo Moo Martial Artist	3	3	dru		2	3	dex		70	100	oskill	Bovine Burst	3	3	move2		25	45	pierce-immunity-damage		10	15	att		500	1000	hp		200	350	prop-moomoobuff		1	1		0
Griffon's Eye	1053	1042	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	gethit-skill	Tempest Flurry	5	40	prop-dmgtowind		30	40	oskill	Moo Moo Martial Artist	3	3	dru		2	2	dex		30	40	oskill	Bovine Burst	3	3	move2		15	15	pierce-immunity-damage		5	5	att		500	600	hp		150	200	prop-moomoobuff		1	1		0
Obsidian World Crush	1054	1043	1	1	100	1		16	1	93	93	7gm	Thunder Maul		5	5000	blac	blac						prop-Torment		3	4	att-skill	Stone Fury	12	60	prop-dmgtoearth		90	110	dru		5	5	hp%		5	6	swing2		50	60	res-mag		20	20	ac		375	750	prop-skillsynSFandSE		5	6	dmg-max		70	90	att		1500	1600	dmg%		300	425		0
Obsidian World Crush	1055	1044	1	1	100	1		12	1	95	95	7gm	Thunder Maul		5	5000	blac	blac						prop-Torment		5	6	att-skill	Stone Fury	13	60	prop-dmgtoearth		90	120	dru		5	5	hp%		5	6	swing2		50	65	res-mag		20	20	ac		375	750	prop-skillsynSFandSE		6	7	dmg-max		70	100	att		1500	1600	dmg%		300	450		0
Obsidian World Crush	1056	1045	1	1	100	1		8	1	97	97	7gm	Thunder Maul		5	5000	blac	blac						prop-Torment		7	8	att-skill	Stone Fury	14	60	prop-dmgtoearth		90	130	dru		5	6	hp%		5	7	swing2		50	70	res-mag		20	20	ac		375	750	prop-skillsynSFandSE		7	8	dmg-max		70	110	att		1500	1600	dmg%		300	475		0
Obsidian World Crush	1057	1046	1	1	100	1		4	1	98	98	7gm	Thunder Maul		5	5000	blac	blac						prop-Torment		9	10	att-skill	Stone Fury	15	60	prop-dmgtoearth		90	140	dru		6	7	hp%		5	7	swing2		50	75	res-mag		20	20	ac		375	750	prop-skillsynSFandSE		8	9	dmg-max		70	120	att		1500	1600	dmg%		300	500		0
Obsidian World Crush	1058	1047	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	att-skill	Stone Fury	5	40	prop-dmgtoearth		40	40	dru		2	2	hp%		5	5	swing2		30	30	res-mag		10	10	ac		375	750	prop-skillsynSFandSE		3	3	dmg-max		40	40	att		1500	1600	dmg%		200	200		0
Everlasting Spears	1059	1048	1	1	100	1		16	1	93	93	7vo	Bill		3	5000	blac	blac						prop-Torment		3	4	ac		800	900	prop-dmgtohoming		90	110	gethit-skill	Seismic Spear	18	48	hp		600	700	regen		1400	1500	pierce-immunity-damage		25	25	move2		40	45	dru		5	5	res-all		50	52	bothdr		150	175	prop-SSduration		1	1		0
Everlasting Spears	1060	1049	1	1	100	1		12	1	95	95	7vo	Bill		3	5000	blac	blac						prop-Torment		5	6	ac		600	700	prop-dmgtohoming		90	120	gethit-skill	Seismic Spear	19	48	hp		600	725	regen		1400	1600	pierce-immunity-damage		25	25	move2		40	45	dru		5	5	res-all		50	54	bothdr		150	175	prop-SSduration		1	1		0
Everlasting Spears	1061	1050	1	1	100	1		8	1	97	97	7vo	Bill		3	5000	blac	blac						prop-Torment		7	8	ac		600	700	prop-dmgtohoming		90	130	gethit-skill	Seismic Spear	20	48	hp		600	750	regen		1400	1700	pierce-immunity-damage		25	25	move2		40	45	dru		5	6	res-all		50	56	bothdr		150	175	prop-SSduration		1	1		0
Everlasting Spears	1062	1051	1	1	100	1		4	1	98	98	7vo	Bill		3	5000	blac	blac						prop-Torment		9	10	ac		600	700	prop-dmgtohoming		90	140	gethit-skill	Seismic Spear	21	48	hp		600	775	regen		1400	1800	pierce-immunity-damage		25	25	move2		40	45	dru		6	7	res-all		50	58	bothdr		150	175	prop-SSduration		1	1		0
Everlasting Spears	1063	1052	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	ac		600	700	prop-dmgtohoming		40	50	gethit-skill	Seismic Spear	5	48	hp		150	200	regen		400	500	pierce-immunity-damage		25	25	move2		40	45	dru		5	5	res-all		20	25	bothdr		150	175	prop-SSduration		1	1		0
Kamadhenu's Waistband	1064	1053	1	1	100	1		16	1	93	93	umc	mithril coil		5	5000	blac	blac						prop-Torment		3	4	dex		60	72	dru		2	2	prop-maxdbloodhoove		30	32	regen		1200	1300	Ravager		3	3	reduce-ac		20	22	prop-bloodskilldamage		70	70	mag%		35	35	att%		100	220	dmg-max		100	100	hp		300	355		0
Kamadhenu's Waistband	1065	1054	1	1	100	1		12	1	95	95	umc	mithril coil		5	5000	blac	blac						prop-Torment		5	6	dex		60	74	dru		2	2	prop-maxdbloodhoove		30	34	regen		1200	1300	Ravager		3	3	reduce-ac		20	24	prop-bloodskilldamage		70	70	mag%		35	35	att%		100	240	dmg-max		100	100	hp		300	360		0
Kamadhenu's Waistband	1066	1055	1	1	100	1		8	1	97	97	umc	mithril coil		5	5000	blac	blac						prop-Torment		7	8	dex		60	76	dru		2	2	prop-maxdbloodhoove		30	36	regen		1200	1300	Ravager		3	3	reduce-ac		20	26	prop-bloodskilldamage		70	70	mag%		35	35	att%		100	260	dmg-max		100	100	hp		300	365		0
Kamadhenu's Waistband	1067	1056	1	1	100	1		4	1	98	98	umc	mithril coil		5	5000	blac	blac						prop-Torment		9	10	dex		60	80	dru		2	2	prop-maxdbloodhoove		30	38	regen		1200	1300	Ravager		3	3	reduce-ac		20	28	prop-bloodskilldamage		70	70	mag%		35	35	att%		100	280	dmg-max		100	100	hp		300	370		0
Kamadhenu's Waistband	1068	1057	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	blac	blac						prop-Torment		3	4	dex		30	40	dru		2	2	prop-maxdbloodhoove		25	25	regen		1200	1300	Ravager		3	3	reduce-ac		10	10	prop-bloodskilldamage		30	30	mag%		35	35	att%		100	100	dmg-max		100	100	hp		250	250		0
Spirit Ward	1069	1058	1	1	100	1		16	1	93	93	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		3	4	ac		600	650	res-max-all		2	2	abs-cold%		15	15	str		40	52	prop-dmgtototem		80	90	oskill	Molten Smash	3	3	extra-cold		20	21	pierce-immunity-cold		14	14	gethit-skill	Tempest Flurry	10	55	prop-coldtotemrate		3	3	dru		4	4		0
Spirit Ward	1070	1059	1	1	100	1		12	1	95	95	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		5	6	ac		600	700	res-max-all		2	2	abs-cold%		15	16	str		40	54	prop-dmgtototem		80	95	oskill	Molten Smash	3	3	extra-cold		20	22	pierce-immunity-cold		14	14	gethit-skill	Tempest Flurry	10	55	prop-coldtotemrate		3	3	dru		4	4		0
Spirit Ward	1071	1060	1	1	100	1		8	1	97	97	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		7	8	ac		600	750	res-max-all		2	2	abs-cold%		15	17	str		40	56	prop-dmgtototem		80	100	oskill	Molten Smash	3	3	extra-cold		20	23	pierce-immunity-cold		14	14	gethit-skill	Tempest Flurry	10	55	prop-coldtotemrate		3	3	dru		4	4		0
Spirit Ward	1072	1061	1	1	100	1		4	1	98	98	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		9	10	ac		600	800	res-max-all		2	2	abs-cold%		15	18	str		40	58	prop-dmgtototem		80	100	oskill	Molten Smash	3	3	extra-cold		20	24	pierce-immunity-cold		14	14	gethit-skill	Tempest Flurry	10	55	prop-coldtotemrate		3	3	dru		4	4		0
Spirit Ward	1073	1062	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000	dblu	dblu						prop-Torment		3	4	ac		250	300	res-max-all		2	2	abs-cold%		10	10	str		40	40	prop-dmgtototem		50	50	oskill	Molten Smash	3	3	extra-cold		10	10	pierce-immunity-cold		7	7	gethit-skill	Tempest Flurry	10	55	prop-coldtotemrate		3	3	dru		2	2		0
Storm Ward	1074	1063	1	1	100	1		20	1	91	91	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		1	2	ac		600	600	res-max-all		2	2	abs-ltng%		15	15	str		40	50	prop-dmgtototem		80	90	oskill	Molten Smash	3	3	extra-ltng		20	20	pierce-immunity-light		14	14	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		4	4		0
Storm Ward	1075	1064	1	1	100	1		16	1	93	93	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		3	4	ac		600	650	res-max-all		2	2	abs-ltng%		15	15	str		40	54	prop-dmgtototem		80	90	oskill	Lightning Mastery	8	8	extra-ltng		20	21	pierce-immunity-light		14	14	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		4	4		0
Storm Ward	1076	1065	1	1	100	1		12	1	95	95	uts	ward		3	5000	dblu	dblu		invgtsu				prop-torment		5	6	ac		600	700	res-max-all		2	2	abs-ltng%		15	16	str		40	56	prop-dmgtototem		80	95	oskill	Lightning Mastery	8	8	extra-ltng		20	22	pierce-immunity-light		14	14	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		4	4		0
Storm Ward	1077	1066	1	1	100	1		8	1	97	97	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		7	8	ac		600	750	res-max-all		2	2	abs-ltng%		15	17	str		40	58	prop-dmgtototem		80	100	oskill	Lightning Mastery	8	8	extra-ltng		20	23	pierce-immunity-light		14	14	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		4	4		0
Storm Ward	1078	1067	1	1	100	1		4	1	98	98	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		9	10	ac		600	800	res-max-all		2	2	abs-ltng%		15	18	str		40	40	prop-dmgtototem		80	100	oskill	Lightning Mastery	8	8	extra-ltng		20	24	pierce-immunity-light		14	14	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		4	4		0
Storm Ward	1079	1068	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000	dblu	dblu						prop-Torment		3	4	ac		250	300	res-max-all		2	2	abs-ltng%		10	10	str		40	50	prop-dmgtototem		50	50	oskill	Lightning Mastery	8	8	extra-ltng		10	10	pierce-immunity-light		7	7	gethit-skill	Lightning Fury	10	55	prop-stormtotemrate		3	3	dru		2	2		0
Ten Dragons	1080	1069	1	1	100	1		16	1	93	93	7o7	Thresher		5	5000								prop-Torment		3	4	dru		5	5	dmg%		300	425	hp		350	400	prop-burstsyngow		5	5	prop-dmgtowind		80	95	swing2		60	60	pierce-immunity-damage		10	11	reduce-ac		25	26	gethit-skill	Axe Storm	14	50	dmg-min		60	65	att		1200	1400		0
Ten Dragons	1081	1070	1	1	100	1		12	1	95	95	7o7	Thresher		5	5000								prop-Torment		5	6	dru		5	5	dmg%		300	450	hp		350	425	prop-burstsyngow		5	6	prop-dmgtowind		80	100	swing2		60	60	pierce-immunity-damage		10	12	reduce-ac		25	27	gethit-skill	Axe Storm	15	50	dmg-min		60	70	att		1200	1450		0
Ten Dragons	1082	1071	1	1	100	1		8	1	97	97	7o7	Thresher		5	5000								prop-Torment		7	8	dru		5	5	dmg%		300	475	hp		350	450	prop-burstsyngow		6	7	prop-dmgtowind		80	110	swing2		60	60	pierce-immunity-damage		10	13	reduce-ac		25	28	gethit-skill	Axe Storm	16	50	dmg-min		60	75	att		1200	1500		0
Ten Dragons	1083	1072	1	1	100	1		4	1	98	98	7o7	Thresher		5	5000								prop-Torment		9	10	dru		5	6	dmg%		300	500	hp		350	475	prop-burstsyngow		7	8	prop-dmgtowind		80	115	swing2		60	60	pierce-immunity-damage		10	14	reduce-ac		25	29	gethit-skill	Axe Storm	16	52	dmg-min		60	80	att		1200	1550		0
Ten Dragons	1084	1073	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000								prop-Torment		3	4	dru		2	2	dmg%		250	250	hp		200	250	prop-burstsyngow		4	4	prop-dmgtowind		80	120	swing2		30	40	pierce-immunity-damage		8	8	reduce-ac		20	20	gethit-skill	Axe Storm	8	40	dmg-min		40	40	att		700	700		0
Ward of Dragons	1085	1074	1	1	100	1		20	1	91	91	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		1	2	ac		600	600	res-max-all		2	2	abs-fire%		15	15	str		40	50	prop-dmgtototem		80	90	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		14	14	gethit-skill	Flame Wave	8	50	prop-ftpierce		18	18	dru		4	4		0
Ward of Dragons	1086	1075	1	1	100	1		16	1	93	93	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		3	4	ac		600	650	res-max-all		2	2	abs-fire%		15	16	str		40	50	prop-dmgtototem		80	90	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		14	15	gethit-skill	Flame Wave	8	51	prop-ftpierce		18	19	dru		4	4		0
Ward of Dragons	1087	1076	1	1	100	1		12	1	95	95	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		5	6	ac		600	700	res-max-all		2	2	abs-fire%		15	17	str		40	50	prop-dmgtototem		80	95	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		14	16	gethit-skill	Flame Wave	8	52	prop-ftpierce		18	20	dru		4	4		0
Ward of Dragons	1088	1077	1	1	100	1		8	1	97	97	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		7	8	ac		600	750	res-max-all		2	2	abs-fire%		15	18	str		40	50	prop-dmgtototem		80	100	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		14	17	gethit-skill	Flame Wave	8	53	prop-ftpierce		18	21	dru		4	4		0
Ward of Dragons	1089	1078	1	1	100	1		4	1	98	98	uts	ward		3	5000	dblu	dblu		invgtsu				prop-Torment		9	10	ac		600	800	res-max-all		2	2	abs-fire%		15	19	str		40	50	prop-dmgtototem		80	100	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		14	18	gethit-skill	Flame Wave	8	54	prop-ftpierce		18	22	dru		4	4		0
Ward of Dragons	1090	1079	1	1	100	1		1	1	97	97	cm4	effigy	1	3	5000	dblu	dblu						prop-Torment		3	4	ac		250	250	res-max-all		2	2	abs-fire%		10	10	str		40	50	prop-dmgtototem		80	50	oskill	Shattering Smash	3	3	extra-fire		20	20	pierce-immunity-fire		8	8	gethit-skill	Flame Wave	4	35	prop-ftpierce		10	10	dru		4	4		0
Hellholders Grasp	1091	1080	1	1	100	1		16	1	93	93	uhg	ogre gauntlets		5	5000	dpur	dpur		invscmu				prop-dmgtomeleeexplosion		70	85	hp		150	225	extra-fire		40	45	dex		50	60	str		40	50	kill-skill	Hellfire	10	46	swing2		20	32	res-fire-max		2	2	regen		1200	1350	prop-strnat		30	31	oskill	Shattering Smash	3	3	prop-Torment		3	4		0
Hellholders Grasp	1092	1081	1	1	100	1		12	1	95	95	uhg	ogre gauntlets		5	5000	dpur	dpur		invscmu				prop-dmgtomeleeexplosion		70	90	hp		150	250	extra-fire		40	50	dex		50	60	str		40	50	kill-skill	Hellfire	10	47	swing2		20	34	res-fire-max		2	2	regen		1200	1400	prop-strnat		30	32	oskill	Shattering Smash	3	3	prop-Torment		5	6		0
Hellholders Grasp	1093	1082	1	1	100	1		8	1	97	97	uhg	ogre gauntlets		5	5000	dpur	dpur		invscmu				prop-dmgtomeleeexplosion		70	95	hp		150	275	extra-fire		40	55	dex		50	60	str		40	50	kill-skill	Hellfire	10	48	swing2		20	36	res-fire-max		2	2	regen		1200	1450	prop-strnat		30	33	oskill	Shattering Smash	3	3	prop-Torment		7	8		0
Hellholders Grasp	1094	1083	1	1	100	1		4	1	98	98	uhg	ogre gauntlets		5	5000	dpur	dpur		invscmu				prop-dmgtomeleeexplosion		70	100	hp		150	300	extra-fire		40	60	dex		50	60	str		40	50	kill-skill	Hellfire	10	49	swing2		20	38	res-fire-max		2	2	regen		1200	1500	prop-strnat		30	34	oskill	Shattering Smash	3	3	prop-Torment		9	10		0
Hellholders Grasp	1095	1084	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	dpur	dpur						prop-dmgtomeleeexplosion		70	105	hp		150	325	extra-fire		40	65	dex		50	60	str		40	50	kill-skill	Hellfire	3	35	swing2		15	15	res-fire-max		2	2	regen		1200	1550	prop-strnat		25	25	oskill	Shattering Smash	3	3	prop-Torment		3	4		0
Moo Moo Medallion	1096	1085	1	1	100	1		16	1	93	93	amu	amulet		5	5000								prop-Torment		3	4	prop-polereduce		25	27	dru		2	2	all-stats		30	42	oskill	Fade	8	8	hp		150	213	reduce-ac		25	26	att		1100	1200	mana		1200	1200	oskill	Polearm Mastery	3	3										0
Moo Moo Medallion	1097	1086	1	1	100	1		12	1	95	95	amu	amulet		5	5000								prop-Torment		5	6	prop-polereduce		25	29	dru		2	2	all-stats		30	44	oskill	Fade	8	8	hp		150	225	reduce-ac		25	27	att		1100	1250	mana		1200	1200	oskill	Polearm Mastery	3	3										0
Moo Moo Medallion	1098	1087	1	1	100	1		8	1	97	97	amu	amulet		5	5000								prop-Torment		7	8	prop-polereduce		25	31	dru		2	2	all-stats		30	46	oskill	Fade	8	8	hp		150	238	reduce-ac		25	28	att		1100	1300	mana		1200	1200	oskill	Polearm Mastery	3	3										0
Moo Moo Medallion	1099	1088	1	1	100	1		4	1	98	98	amu	amulet		5	5000								prop-Torment		9	10	prop-polereduce		25	33	dru		2	2	all-stats		30	48	oskill	Fade	8	8	hp		150	250	reduce-ac		25	29	att		1100	1350	mana		1200	1200	oskill	Polearm Mastery	3	3										0
Moo Moo Medallion	1100	1089	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000								prop-Torment		3	4	prop-polereduce		25	25	dru		2	2	all-stats		20	30	oskill	Fade	5	5	hp		100	150	reduce-ac		15	15	att		800	900	mana		1200	1200	oskill	Polearm Mastery	3	3										0
Deaths's Web	1101	1090	1	1	100	1		16	1	93	93	7gw	unearthed wand		5	5000	bwht	bwht						nec		4	4	prop-bloodskilldamage		80	100	oskill	Bloodstream	3	3	prop-projtobloodstream		3	3	prop-blooddmgtoacidskull		5	6	gethit-skill	Blood Nova	10	55	cast2		40	50	ac		300	650	dr%		12	12	mdr%		12	12	hp		350	425	prop-Torment		3	4		0
Deaths's Web	1102	1091	1	1	100	1		12	1	95	95	7gw	unearthed wand		5	5000	bwht	bwht						nec		4	4	prop-bloodskilldamage		80	110	oskill	Bloodstream	3	3	prop-projtobloodstream		3	3	prop-blooddmgtoacidskull		6	7	gethit-skill	Blood Nova	11	55	cast2		40	52	ac		300	700	dr%		12	12	mdr%		12	12	hp		350	438	prop-Torment		5	6		0
Deaths's Web	1103	1092	1	1	100	1		8	1	97	97	7gw	unearthed wand		5	5000	bwht	bwht						nec		4	5	prop-bloodskilldamage		80	120	oskill	Bloodstream	3	3	prop-projtobloodstream		3	4	prop-blooddmgtoacidskull		7	8	gethit-skill	Blood Nova	12	55	cast2		40	54	ac		300	750	dr%		12	12	mdr%		12	12	hp		350	450	prop-Torment		7	8		0
Deaths's Web	1104	1093	1	1	100	1		4	1	98	98	7gw	unearthed wand		5	5000	bwht	bwht						nec		4	6	prop-bloodskilldamage		80	130	oskill	Bloodstream	3	3	prop-projtobloodstream		3	4	prop-blooddmgtoacidskull		8	9	gethit-skill	Blood Nova	13	55	cast2		40	56	ac		300	800	dr%		12	12	mdr%		12	12	hp		350	460	prop-Torment		9	10		0
Deaths's Web	1105	1094	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	bwht	bwht						nec		4	4	prop-bloodskilldamage		50	50	oskill	Bloodstream	3	3	prop-projtobloodstream		3	3	prop-blooddmgtoacidskull		3	3	gethit-skill	Blood Nova	6	30	cast2		30	30	ac		175	350	dr%		12	12	mdr%		12	12	hp		200	250	prop-Torment		3	4		0
Shield Of The Underworld	1106	1095	1	11	100	1		20	1	91	91	uit	Monarch		3	5000				invkitu				sock		1	1	prop-chainedwarmth		3	4	prop-Torment		1	2	bothdr		100	100	ac		550	550	oskill	Holy Shield	3	3	res-all-max		3	3	oskill	Frigid Winds	12	12	gethit-skill	Dispersion Strike	25	40	sor		2	2	dmg-max		100	100	lifesteal		25	25		0
Lestatdirk	1107	1096	1	1	100	1		16	1	93	93	7di	fanged knife		5	5000	dred	dred		invkrsu				prop-Torment		3	4	prop-hellknifemasterysyn		5	6	dmg-mag		1500	1800	att		600	750	att-skill	Bone Swarm	15	41	dmg%		300	425	aura	Fanaticism	8	9	pierce-immunity-magic		15	16	oskill	Bloodborne	3	3	oskill	Ravager	3	4	nec		4	4	dex		50	60		0
Lestatdirk	1108	1097	1	1	100	1		12	1	95	95	7di	fanged knife		5	5000	dred	dred		invkrsu				prop-Torment		5	6	prop-hellknifemasterysyn		6	7	dmg-mag		1500	1900	att		600	800	att-skill	Bone Swarm	15	42	dmg%		300	450	aura	Fanaticism	9	10	pierce-immunity-magic		15	16	oskill	Bloodborne	3	3	oskill	Ravager	4	5	nec		4	5	dex		50	62		0
Lestatdirk	1109	1098	1	1	100	1		8	1	97	97	7di	fanged knife		5	5000	dred	dred		invkrsu				prop-Torment		7	8	prop-hellknifemasterysyn		7	8	dmg-mag		1500	2000	att		600	850	att-skill	Bone Swarm	15	43	dmg%		300	475	aura	Fanaticism	10	11	pierce-immunity-magic		15	16	oskill	Bloodborne	3	3	oskill	Ravager	5	6	nec		4	5	dex		50	64		0
Lestatdirk	1110	1099	1	1	100	1		4	1	98	98	7di	fanged knife		5	5000	dred	dred		invkrsu				prop-Torment		9	10	prop-hellknifemasterysyn		8	9	dmg-mag		1500	2100	att		600	900	att-skill	Bone Swarm	15	44	dmg%		300	500	aura	Fanaticism	11	12	pierce-immunity-magic		15	16	oskill	Bloodborne	3	3	oskill	Ravager	6	7	nec		4	6	dex		50	66		0
Lestatdirk	1111	1100	1	1	100	1		1	1	97	97	cm4	effigy	1	5	5000	dred	dred						prop-Torment		3	4	prop-hellknifemasterysyn		4	4	dmg-mag		1500	2200	att		400	500	att-skill	Bone Swarm	8	30	dmg%		200	300	aura	Fanaticism	4	4	pierce-immunity-magic		8	8	oskill	Bloodborne	3	3	oskill	Ravager	2	2	nec		2	2	dex		30	30		0
Frozen Underworld's Fathom	1112	1101	1	1	100	1		16	1	93	93	uui	dusk shroud		3	5000	cblu	cblu						prop-Torment		3	4	ac		600	625	dr%		15	16	mdr%		15	16	prop-necromagedr		1	1	prop-bloodskilldamage		70	75	prop-dmgtomeleeexplosion		70	75	half-freeze		1	1	nec		3	3	gethit-skill	Frost Bomb	12	30	res-cold		80	85	ease		100	100		0
Frozen Underworld's Fathom	1113	1102	1	1	100	1		12	1	95	95	uui	dusk shroud		3	5000	cblu	cblu						prop-Torment		5	6	ac		600	650	dr%		15	17	mdr%		15	17	prop-necromagedr		1	1	prop-bloodskilldamage		70	80	prop-dmgtomeleeexplosion		70	80	half-freeze		1	1	nec		3	3	gethit-skill	Frost Bomb	12	30	res-cold		80	90	ease		100	100		0
