skill	*type	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Snowball	chained	395	sor	snowball	10	14													icesmack	icesmack	icesmack							par1																																																																								icesmack	icesmack	icesmack										1	8		h2h		orb	wand	staf								A1	A1	xx				1		1	1								1		1			1									1	35														1	1					1	8	7	2	1											8	Range of Bolt Missiles	dm34 + stat('snowballmaxchainhits'.accr)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)			(stat('item_fasterattackrate'.accr)*(0 + stat('FARVSS'.accr)))		11	Radius of jump to next target			2	# of target jump hits baseline	6	# of target jump hits per level																	1	100	30						8															cold	244	108	199	216	230	244	369	114	207	222	237	253	stat('energy'.accr) + stat('dmgtochained'.accr) + clc6	50							256	1000	0
Storm Strike	chained	403	sor	storm strike	10	14													scepterlightning	scepterlightning	scepterlightning							par1																																																																								scepterlightning	scepterlightning	scepterlightning										1	8		h2h		scep	swor	staf								A1	A1	xx				1		1	1								1		1			1									1	35														1	1					1	8	7	2	1											8	Range of Bolt Missiles	dm34 + stat('stormstrikemaxchainhits'.accr)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)			(stat('item_fasterattackrate'.accr)*(0 + stat('FARVSS'.accr)))		11	Radius of jump to next target			2	# of target jump hits baseline	6	# of target jump hits per level																	1	100	30						8															ltng	244	108	199	216	230	244	369	114	207	222	237	253	stat('energy'.accr) + stat('dmgtochained'.accr) + clc6								256	1000	0
Flame Torrent	homing	390	sor	flame torrent		124		1	8										torrentmissle	torrentmissle	torrentmissle				armageddon		50*(1 + stat('FTduration'.accr))	1																																																																				17				torrentmissle	torrentmissle	torrentmissle		1		1		1			1	1	7		none		staf	wand									A1	A1	xx				1													1			1									18	35												clc5		0	1					0	8	150	2	1											4		1		1				100/(1 + stat('FTduration'.accr))	cooldown									7																		1								8															fire	191	95	119	144	167	191	238	108	131	156	180	203	stat('energy'.accr) + stat('dmgtohoming'.accr)								384	3000	0
Flame Cloak		391	sor	flame cloak		18													flamecloakmissle						flamecloak		ln34		skill_armor_percent	ln12	item_maxhp_percent	(blvl)*stat('hptoflamecloak'.accr)	item_healafterkill	50 + (blvl*15)							hitbymissile	1																																					sorceress_cast_cold				sorceress_shiverarmor							fire_cast_2	fire_cast_2									flamecloakmissle												1	5		none		staf										SC	SC	xx				1																1						sorceress_cast_cold			12	35												30		0	1					1	8	0	0	1		1	1	30																			100	Armor % baseline	20	Armor % per level	3600	Buff Duration	300	Buff Duration per level																	1								8															fire	309	154	194	232	271	309	386	174	213	252	290	329	stat('energy'.accr)						1		768	32000	0
Meteor Shower	bombardment	392	sor	meteor shower		124													immolatecontrol	immolatecontrol	immolatecontrol				armageddon		ln12	par3																																																			druid_firecast_a											druid_fire_cast_2						92				immolatetail	immolaterock			25	Missile Frames	40	Missile Fall Rate	4	Missile Slide Rate			1	0		none												SC	SC	xx				1	4															1									30	35								1						0	1					1	8	150	3	1																							20	Duration baseline	0	Duration per level	5	Radius	3	Delay between Missiles created																	1								8															fire	150	90	120	150	186	228	450	96	132	162	204	240	stat('energy'.accr) + stat('dmgbombardment'.accr)								896	64000	0
Lightning Rod	bombardment, melee explosion	487	sor	lightning rod	39	11													lightningrodmissle	lightningrodmissle	lightningrodmissle				attackbuffstate			7	passive_dodge	20 + (blvl/2)	passive_avoid	20 + (blvl/2)	passive_evade	20 + (blvl/2)																																																												84						lightningrodmissle	lightningrodmissle	lightningrodmissle										1	10		h2h		staf	orb	swor								A1	A1	xx				1		1	1								1		1			1									6	35														1	1					1	8	20	2	1											1		50 + stat('LRduration'.accr)				0										1		1																		1	100	30						8															ltng	355	179	223	268	311	355	445	203	246	290	336	379	stat('energy'.accr) + stat('dmgbombardment'.accr) + stat('dmgtomeleeexplosion'.accr) + stat('LRduration'.accr)								384	3000	0
Warmth		37	sor	warmth																																											warmth			manarecoverybonus	ln12	item_tohit_percent	ln34	dmgtochained	(blvl)*stat('chainedwarmth'.accr)																																																									1	0		none												SC	SC	xx																													1	35														0	0					0	8	0	0	1	1							1															100	Mana Recovery % baseline	20	Mana Recovery % per level	20		20																		1								8															fire																					256	1000	0
Flame Wave	earth, fragment, totem	394	sor	flame wave		28													flamewavemaker	flamewavemaker	flamewavemaker							7																																																																		28						flamewavemaker	flamewavemaker	flamewavemaker										1	7		none		orb	wand									SC	SC	xx				1	4				1								1			1									12	35												75		1	1					1	8	20	2	1											1		18																																		1								8															fire	62	74	147	171	195	243	158	86	158	183	219	279	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgtoearth'.accr) + stat('dmgtototem'.accr) + stat('item_fastercastrate'.accr)								384	3000	0
Ice Shard	wind	398	sor	ice shard		8													iceshard	iceshard							1	7																																																			sorceress_cast_cold											ice_cast_2				17						iceshard	iceshard											1	7		none		orb	wand	staf								SC	SC	SC				1													1			1						sorceress_cast_cold			12	35														1	1					1	8	8	2	1											1 + stat('projectilestoiceshard'.accr)		1		1																																1								8															cold	337	173	214	255	296	337	419	194	235	277	318	358	stat('energy'.accr) + stat('dmgtowind'.accr)	50							640	16000	0
Eldritch FIre		393	sor	eldritch fire		30																		3		crisp	dm34	dm12	damagepercent	-dm56	fireresist	-dm56	coldresist	-dm56	lightresist	-dm56																																											necromancer_curse_cast														18	30						crispy		crispy										1	9		none												SC	SC	S2					4															1						necromancer_curse_cast			12	35														0	1					1	8	20	2	1																							5	Radius baseline	18	Radius max	5	Duration baseline	125	Duration max	1	Resistance and damage nerf baseline	50	Resistance and damage nerf max													1								8																																				768	32000	0
Scepter of Zeus	homing	406	sor	scepter of zeus												sceptershot								42371				par3																																																																							sceptershot													1	8		none		scep										SC	SC	xx				1		1	1										1			1									12	35														1	1					1	8	20	2	1									1		ln12	# of furylightning Missiles created											6	# of Lightning Missiles created baseline	0	# of Lightning Missiles created per level	9	Target Search Radius																			1	100	30						8	128														ltng	161	81	101	121	140	161	200	91	111	131	152	172	stat('energy'.accr) + stat('dmgtohoming'.accr)								512	8000	0
Falling Cinder	bombardment, fragment	388	sor	falling cinder	39	80		1											cometfall						attackbuffstate			5	armorclass	blvl*50																																																	amazon_dodge_1											fire_cast_2				84						cometfall												1	5		none		staf	orb									SC	SC	xx				1	4	1	1		1								1			1									7	35														1	1					1	8	12	2	1													50																																		1								8															fire	462	233	290	348	404	462	579	264	320	377	437	493	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr)								768	32000	0
Energy Shield		58		energy shield		23																			energyshield		ln12														absorbdamage	24																						74															sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																						1	4		none												SC	SC	xx																													12	35														0	1					1	8	5	0	1	1										"min(edmn,95)"	Damage % Absorption	par5	Mana consumed per HP damage (in sixteenths)									3600	Buff Duration baseline	600	Buff Duration per level					16	Mana consumed per HP damage (in sixteenths)															1								8																24	6	2	1	1	1															768	32000	0
Twin Peaks	earth, trap	400	sor	twin peaks	23	39		1				2 + (blvl/15) + stat('TPproj'.accr) + (skill('Cold Mastery'.blvl)/30)							blastchainsub	blastchainsub	blastchainsub							5																																																														ice_cast_2				9						blastchainsub	blastchainsub	blastchainsub										1	7		none		orb	wand	staf								SC	SC	xx				1		1	1										1			1									6	35														1	1					1	8	12	2	1											1	number of shots					0										1	Missile Activation Frame																			1								8															cold	92	47	58	69	80	92	115	52	64	75	86	98	stat('energy'.accr) + stat('dmgtoearth'.accr) + stat('dmgtotrap'.accr)	50							384	3000	0
Lightning Speed		404	sor	lightning speed		25																			lightningspeed		2500		item_fastermovevelocity	ln12	item_fasterattackrate	ln12	lightmindam	enma	lightmaxdam	exma	passive_ltng_pierce	stat('ltngpiercetolightningspeed'.accr)																																																																										1	0		none												SC	SC	xx				1																1									10	25														0	1					1	8	20	2	1	1																						10	Armor % baseline	3	Armor % per level					3000	Duration baseline	300	Duration per level													1								8															ltng	4	0	0	0	0	0	113	57	85	113	142	142	stat('energy'.accr) + stat('enchantfrostborneLSdmg'.accr)								640	16000	0
Glacial Spike		55		glacial spike												glacialspike											ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																			sorceress_cast_cold											ice_cast_2									glacialspike													1	7		none												SC	SC	SC																	1			1						sorceress_cast_cold			18	35														1	1					1	8	12	2	1																							4	Explosion Radius baseline	0	Explosion Radius per level	50	Freeze Length baseline	3	Freeze Length per level					3	Freeze Length synergy	5	Damage synergy									1								8															cold	480	210	390	420	450	480	720	226	406	436	466	496	stat('energy'.accr)	50							640	16000	0
Enchant		52	sor	enchant		25																			enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht	item_fasterattackrate	stat('fcrtoenchant'.accr)	item_fastercastrate	stat('fcrtoenchant'.accr)																																																																										1	0		none												SC	SC	xx																				1						sorceress_enchant			12	35														1	1					1	8	50	2	1	1																						3600	Buff Duration baseline	600	Buff Duration per level	33	% Damage for Ranged Weapons									9	Damage synergy									1	100	20						8															fire	67	13	30	47	64	80	85	22	38	55	72	89	stat('energy'.accr) + stat('enchantfrostborneLSdmg'.accr)						1		640	16000	0
Teleport		54	sor	teleport		27																																																																									sorceress_teleport_hd1											teleport																				1		1	0		none												SC	SC	xx																				1		1	2			sorceress_teleport	teleport		12	35												12 - stat('teleportcdr'.accr)		0	1					1	8	100	-2	1	1																																														1								8																																				640	16000	0
Storm Cloak	fragment	405	sor	storm cloak	13	29		1	11										conduitmissle						thunderstorm		ln12		lightresist	lvl*2																																																	sorceress_thunder_cast											light_cast_2						19				conduitmissle				1								1	5		none												SC	SC	xx				1																1									6	35														0	1					1	8	0	0	1		1	1	30 - stat('cdrtosorcauras'.accr)							1										skill('Lightning Orb'.blvl)*(0 + stat('skillsynSCandLO'.accr))	leg synergy	3600	Buff Duration baseline	600	Buff Duration per level	10	Periodic Damage Rate Min	100	Periodic Damage Rate Multiplier	0	Min % reduction of periodic damage rate	1	Max % reduction of periodic damage rate	6	Radius											1								8															ltng	269	134	168	203	236	269	337	152	186	220	253	287	stat('energy'.accr) + stat('dmgtofragment'.accr) + clc6								768	32000	0
Splitting Staff	melee explosion	401	sor	splitting staff	39	11													glacier	glacier	glacier				attackbuffstate		50	7	armorclass	300 + (60*lvl)																																																	sorceress_cast_cold											ice_cast_3				19						glacier	glacier	glacier										1	8		h2h		staf										SC	SC	xx				1		1	1								1		1			1									12	35														1	1					1	8	16	2	1											1		50 + stat('LRduration'.accr)				0										1		1																		1	100	30						8															cold	296	149	186	223	259	296	371	169	205	242	280	316	stat('energy'.accr) + stat('dmgtomeleeexplosion'.accr) + stat('LRduration'.accr)	50							512	8000	0
Ice Queen		399	sor	ice queen																																											icequeen			item_maxhp_percent	1 + (lvl/2)	item_absorbcold_percent	1 + (lvl/4)	item_fastergethitrate	12 + (lvl/2)	item_fastercastrate	12 + (lvl/2)																																																							1	0		none												SC	SC	xx				1																									12	35														0	0					0	8	0	0	1								1															5	Armor % baseline	5	Armor % per level																					1								8																																				640	16000	0
Frozen Fortress		389	sor	frozen fortress		25																			frozenfortress		ln12		normal_damage_reduction	ln34	magic_damage_reduction	ln34	item_tohit_percent	stat('attratingtoff'.accr)*blvl	passive_cold_pierce	stat('coldrrtoff'.accr)*blvl	magicdrpercent	5 + (blvl/2)																																									sorceress_enchant																																	1	4		none		staf										SC	SC	xx																				1						sorceress_enchant			5	35														0	1					1	8	25	1	1	1																						500	Buff Duration baseline	250	Buff Duration per level	24	dmg reduction min	8	dmg reduction max																	1								8																																		1		640	16000	0
Ars Nova Borealis	nova	402	sor	ars nova borealis												arsnova			arsnova																																																												sorceress_cast_cold											ice_cast_1									arsnova	arsnova												1	5		none		staf										SC	SC	xx																	1			1						sorceress_cast_cold			30	35												125		1	1					1	8	150	2	1																																															1						48		8															cold	526	351	438	497	555	613	1052	366	453	511	570	628	stat('energy'.accr) + stat('dmgtonova'.accr)	150	35	35	35				256	1000	0
Lightning Orb	fragment	407	sor	lightning orb												thunderorb																																																															sorceress_cast_cold											ice_cast_3				29						thunderorb												1	8		none		staf	orb	wand								SC	SC	xx																	1			1						sorceress_cast_cold			12	35												40-(blvl)		1	1					1	8	25	2	1																					skill('Storm Cloak'.blvl)*(0 + stat('skillsynSCandLO'.accr))	leg synergy																									1								8															ltng	42	21	26	31	36	42	52	24	29	34	39	44	stat('energy'.accr) + stat('dmgtofragment'.accr) + clc6								896	64000	0
Fire Mastery		61	sor	fire mastery																																											firemastery			passive_fire_mastery	ln12																																																													1	3		none												SC	SC	xx																				1									30	35														0	0					0	8	0	0	1								1															20	Damage % baseline	5	Damage % per level																					1								8															fire																					896	64000	0
Storm Force	bombardment	408	sor	storm force		124													stormforcecontrol	stormforcecontrol	stormforcecontrol				armageddon		ln12	par3																																																			druid_firecast_a											teleport						92				stormforcetail	stormforcerock			25	Missile Frames	30	Missile Fall Rate	9	Missile Slide Rate			1	0		none		scep										SC	SC	xx				1	4															1									30	35								1						0	1					1	8	100	2	1																							20	Duration baseline	0	Duration per level	12	Radius	1	Delay between Missiles created																	1								8															ltng	180	108	144	180	223	274	540	115	158	194	245	288	stat('energy'.accr) + stat('dmgbombardment'.accr)								896	64000	0
Lightning Mastery		63	sor	lightning mastery																																											lightningmastery			passive_ltng_mastery	ln12																																																													1	5		none												SC	SC	xx																													30	35														0	0					0	8	0	0	1								1															20	Damage % baseline	5	Damage % per level																					1								8																																				896	64000	0
Wave of Force	fragment	397	sor	wave of force		41		1				2 + stat('TPproj'.accr)							coldnovacontrol	coldnovacontrol	coldnovacontrol							30																																																														ice_cast_1				15						coldnovacontrol												1	5		none												SC	SC	xx				1	4	1	1		1								1			1									6	35														1	1					1	8	25	2	1											ln12	Explosion Radius											12	Explosion Radius baseline	0	Explosion Radius per level	0	Duration of ground fire baseline	0	Duration of ground fire per level																	1								8															cold	62	31	39	46	54	62	77	35	43	50	58	65	stat('energy'.accr) + stat('dmgtofragment'.accr) + (stat('coldresist'.accr)/2)	50							768	32000	0
Cold Mastery		65	sor	cold mastery																																											coldmastery			passive_cold_mastery	ln12																																																													1	3		none												SC	SC	xx																													30	35														0	0					0	8	0	0	1								1															20	Damage % baseline	5	Damage % per level																					1								8																																				896	64000	0
Bloodstream	multishot	457	nec	bloodstream	39	102													bloodcursemaker						attackbuffstate		50	7	item_healafterkill	blvl*15																																																												teleport				58						bloodcursemaker												1	2		none												SC	SC	xx				1		1	1										1			1									1	35														1	1					1	8	6	2	1											3 + (blvl/7) + stat('projtobloodstream'.accr)	# of Missiles created	50																																		1								8		43	51	101	118	135	168	109	60	109	126	152	192	stat('energy'.accr) + stat('bloodmastery'.accr) + stat('dmgtomultishot'.accr)																						256	1000	0
Acid Skull	fragment, bombardment	450	nec	acid skull	39	28		1											acidcloudmissle						attackbuffstate			ln12	bloodmastery	(blvl)*stat('blooddmgtoacidskull'.accr)	manarecoverybonus	blvl*12																																																										cast_slowmissiles				84						acidcloudmissle												1	7		none		wand										SC	SC	xx				1	4		1		1								1			1						paladin_holybolt_cast			1	35														1	1					1	8	6	3	1													100																																		1								4															pois	155	77	97	116	134	155	191	87	106	125	144	164	stat('energy'.accr) + stat('dmgtofragment'.accr) + stat('dmgbombardment'.accr)	25							384	3000	0
