Name	*order	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of the Bat	746	100	1	1	37		8				8	28	extra-fire		4	6	dmg-fire		19	38						scha	mcha											0	0
of the Wraith	747	100	1	1	70		15				8	28	dmg-cold		1000	1200										weap	glov	ring	amul									0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	26	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	hp		300	400										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	res-all		40	50										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	sock		2	3										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	9	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	10	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	28	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	1	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	24	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	30	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	29	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	22	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	dmg-mag		1000	1000										weap	glov	ring	amul									0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	11	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	dmg-ltng		1000	1200										weap	glov	ring	amul									0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	6	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	5	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	12	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	21	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	23	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	14	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	8	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	19	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	7	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	15	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	4	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	16	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	17	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	balance1		20	22										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	18	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	27	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	25	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	20	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	13	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	3	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	skilltab	2	2	2										lcha	amul											0	0
of the Titan	748	100	1	1	70		85				10	45	mana		400	500										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	move1		15	20										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	red-dmg		9	15										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	red-dmg%		1	6										armo	shld	amul	ring									0	0
of the Titan	748	100	1	1	70		85				10	45	ac		89	100										armo	shld	amul	ring									0	0
